productNum,productAcctNum,prodAcctType,acctid,acctPwd,branchNum,memo,openDate,optId,Flag,AttachAcctId,ThirdSystemId,AttachThirdSystemId,ChannelNum,isSupportALGO,isSupportInterALGO,isDSAOrderFlag,isWorkOrderFlag,StrategyTypeList
2,2,1,10500531,G+ah6zJ/hz9GSmZOS3KRjA==,2,,20220927000000,99990,1,,2201,,0,Y,Y,N,N,
3,3,0,99990001|0001,,4,,20220127172145,99990,1,,2405,,1,N,N,N,N,
5,5,0,888|111,,4,,20220128184355,99990,1,,2405,,1,N,N,N,N,
6,6,0,000020220210,G17gQSm7Kh2jSXp0K3kfQg==,1,,20220210000000,99990,0,,2301,,0,Y,Y,N,N,
7,7,0,999991100,ZHZs6HovMVSHAV4MzJWIFQ==,1,,20220210000000,99990,0,,2301,,0,Y,Y,N,N,
8,8,0,000000002078,G17gQSm7Kh2jSXp0K3kfQg==,1,,20220210155904,99990,1,,2301,,1,N,N,N,N,
9,9,1,000000002079,jRzV05v6a9UMOfdqdQMW3Q==,2,,20220210165900,99990,1,,2201,,1,N,N,N,N,
10,10,0,000020220211,Js5DDz8x5EYN7GfEXD+GHw==,1,,20220211000000,99990,0,,2301,,0,Y,Y,N,N,
11,12,0,33441,,1,,20220211000000,99990,0,,2301,,0,Y,Y,N,N,
11,13,0,33443,,1,,20220211000000,99990,0,,2301,,0,Y,Y,N,N,
11,14,1,33444,,2,,20220211000000,99990,0,,2201,,0,Y,Y,N,N,
11,14,0,33442,,1,,20220211000000,99990,0,,2301,,0,Y,Y,N,N,
12,15,0,888888,,4,,20220212110135,99990,1,,2405,,1,N,N,N,N,
4,16,0,000000000948,ormRRW4cBidSe+V8/gqtqg==,4,,20220212000000,99990,0,,2405,,0,Y,Y,N,N,
4,17,0,000000000948,,1,,20220212000000,99990,0,,2301,,0,Y,Y,N,N,
14,18,1,000020220212,Ukt8kbE5YveMLn47YiBykQ==,2,,20220215000000,99990,0,,2201,,0,Y,Y,N,N,
15,19,1,000000054323,,2,,20220215000000,99990,0,,2201,,0,Y,Y,N,N,
9,20,1,000000002030,jRzV05v6a9UMOfdqdQMW3Q==,6,,20220215000000,99990,0,,2202,,0,Y,Y,N,N,
16,21,0,000000220215,G17gQSm7Kh2jSXp0K3kfQg==,1,,20220215195553,99990,1,,2301,,1,N,N,N,N,
17,22,0,000000220215,G17gQSm7Kh2jSXp0K3kfQg==,1,,20220216165615,99990,1,,2301,,1,N,N,N,N,
18,23,0,000000220215,G17gQSm7Kh2jSXp0K3kfQg==,1,,20220216165643,99990,1,,2301,,1,N,N,N,N,
19,24,0,TYHA,,1,,20220217104330,99990,1,,2301,,1,N,N,N,N,
20,25,1,100000000418,G+ah6zJ/hz9GSmZOS3KRjA==,2,,20220814000000,99990,0,,2201,,0,Y,Y,N,N,
20,25,2,200000000418,G17gQSm7Kh2jSXp0K3kfQg==,2,,20220814000000,99990,0,,2201,2201,0,Y,Y,N,N,
20,25,0,000000000418,,1,,20220814000000,99990,0,,2301,,0,Y,Y,N,N,
21,26,1,199545,06b38Zl2LAs80jNZkLCFTw==,2,,20220419000000,99990,0,,2201,,0,Y,Y,N,N,
22,27,0,000000095501,,8,,20220419141136,99990,1,,2303,,1,N,N,N,N,
23,28,0,0ZY000000001,pn8F+57R2j8TEYbw5d5cDA==,8,,20220419150242,99990,1,,2303,,1,N,N,N,N,
24,29,0,000020220418,5STXCKHIAbU601xgefrL9Q==,9,,20221011000000,99990,0,,2401,,0,Y,Y,N,N,
25,30,3,000000220419,Y3h9DWbUjCLdlBydkEVNRw==,3,,20220419000000,99990,0,,22,,0,Y,Y,N,N,
26,31,3,000000220420,G17gQSm7Kh2jSXp0K3kfQg==,5,,20220419000000,99990,0,999991100,2302,2301,0,Y,Y,N,N,
24,32,0,000020220419,5STXCKHIAbU601xgefrL9Q==,9,,20220801000000,99990,0,,2401,,0,Y,Y,N,N,
24,33,0,000020220420,5STXCKHIAbU601xgefrL9Q==,9,,20220801000000,99990,0,,2401,,0,Y,Y,N,N,
27,34,0,000020220415,,1,,20220419000000,99990,0,,2301,,0,Y,Y,N,N,
28,35,1,TESTFUT,lGkIh6JV+OpexSB41hzp8g==,2,,20220906000000,99990,0,,2201,,0,Y,Y,N,N,
28,35,0,TESTPT,,1,,20220906000000,99990,0,,2301,,0,Y,Y,N,N,
29,39,1,202204191791,guWYKQbHyOCXC8gFPFrlGQ==,5,,20220516000000,99990,1,,2302,,0,Y,Y,N,N,
29,39,0,202204191793,guWYKQbHyOCXC8gFPFrlGQ==,5,,20220516000000,99990,1,,2302,,0,Y,Y,N,N,
29,40,1,202204191789,,2,,20220419000000,99990,0,,2201,,0,Y,Y,N,N,
29,40,0,202204191790,,1,,20220419000000,99990,0,,2301,,0,Y,Y,N,N,
30,41,0,TESTA,,9,,20220907000000,99990,0,,2401,,0,Y,Y,N,N,
30,41,1,TESTA1,,9,,20220907000000,99990,0,,2401,,0,Y,Y,N,N,
31,42,0,000020220223,,9,,20220427000000,99990,0,,2401,,0,Y,Y,N,N,
